transaction_id,transaction_reference,account_id,transaction_type,amount,transaction_date,transaction_status,remarks,hour,day_of_week,day_of_month,month,is_weekend,account_average_amount,account_std_amount,account_transaction_count,amount_deviation,is_anomaly
79,TXN00000079,284,Deposit,2634.65,2025-03-17 10:18:00,Pending,Normal transaction,10,0,17,3,0,3005.6,1073.52,19,0.3455,0
80,TXN00000080,69,Deposit,2060.25,2025-03-19 22:35:00,Success,Normal transaction,22,2,19,3,0,2798.43,1241.75,22,0.5945,0
81,TXN00000081,80,Deposit,4680.48,2025-06-03 09:01:00,Success,Normal transaction,9,1,3,6,0,3742.63,2329.27,23,0.4026,0
82,TXN00000082,105,UPI,34485.93,2025-07-12 05:27:00,Success,Normal transaction,5,5,12,7,1,32242.01,17367.59,21,0.1292,0
83,TXN00000083,129,RTGS,500.69,2025-02-06 23:46:00,Success,Normal transaction,23,3,6,2,0,722.97,397.3,25,0.5595,0
84,TXN00000084,217,NEFT,6172.48,2025-02-02 02:28:00,Success,Normal transaction,2,6,2,2,1,11638.46,7211.6,18,0.7579,0
85,TXN00000085,395,Deposit,7607.26,2025-07-10 18:00:00,Success,Normal transaction,18,3,10,7,0,10911.15,9192.51,21,0.3594,0
86,TXN00000086,227,Transfer,6862.1,2025-11-08 10:22:00,Success,Normal transaction,10,5,8,11,1,26125.09,14777.95,27,1.3035,0
87,TXN00000087,58,Deposit,2304.01,2025-04-19 12:54:00,Success,Normal transaction,12,5,19,4,1,6042.67,2756.18,25,1.3565,0
88,TXN00000088,428,Withdrawal,47184.56,2025-04-18 20:07:00,Success,Normal transaction,20,4,18,4,0,27902.9,21769.22,14,0.8857,0
89,TXN00000089,22,Withdrawal,9681.45,2025-01-30 01:12:00,Success,Normal transaction,1,3,30,1,0,4830.02,2397.98,20,2.0231,0
90,TXN00000090,108,UPI,16577.53,2025-03-16 20:26:00,Success,Normal transaction,20,6,16,3,1,18626.16,9162.18,29,0.2236,0
91,TXN00000091,287,RTGS,16350.29,2025-10-23 21:57:00,Failed,Normal transaction,21,3,23,10,0,13106.25,7713.17,20,0.4206,0
92,TXN00000092,384,Deposit,26105.4,2025-06-22 09:17:00,Success,Normal transaction,9,6,22,6,1,23963.48,11562.19,23,0.1853,0
93,TXN00000093,500,UPI,134109.24,2025-05-09 22:12:00,Success,Normal transaction,22,4,9,5,0,28840.34,28979.49,18,3.6325,0
94,TXN00000094,13,Deposit,38677.91,2025-08-30 21:21:00,Success,Normal transaction,21,5,30,8,1,28480.46,15857.19,15,0.6431,0
95,TXN00000095,211,NEFT,12996.67,2025-06-30 17:02:00,Success,Normal transaction,17,0,30,6,0,16002.5,9590.35,20,0.3134,0
96,TXN00000096,404,UPI,12267.0,2025-10-06 13:24:00,Success,Normal transaction,13,0,6,10,0,23592.53,14788.03,27,0.7659,0
97,TXN00000097,440,Withdrawal,15398.76,2025-05-26 07:47:00,Success,Unusually large transaction,7,0,26,5,0,3944.03,2557.22,21,4.4794,1
98,TXN00000098,236,Withdrawal,20355.09,2025-06-15 17:31:00,Success,Normal transaction,17,6,15,6,1,20049.05,9802.91,17,0.0312,0
99,TXN00000099,338,Deposit,11702.56,2025-08-28 00:47:00,Success,Normal transaction,0,3,28,8,0,20212.4,11227.36,28,0.758,0
100,TXN00000100,36,IMPS,9287.45,2025-07-23 06:03:00,Success,Normal transaction,6,2,23,7,0,25491.19,14442.71,17,1.1219,0
101,TXN00000101,261,Withdrawal,10908.93,2025-08-30 03:15:00,Pending,Normal transaction,3,5,30,8,1,19036.86,8338.52,19,0.9747,0
102,TXN00000102,60,NEFT,4672.76,2025-07-10 05:03:00,Success,Normal transaction,5,3,10,7,0,10868.32,5720.19,18,1.0831,0
103,TXN00000103,493,IMPS,18453.09,2025-01-28 20:35:00,Success,Normal transaction,20,1,28,1,0,9678.5,7539.81,14,1.1638,0
104,TXN00000104,223,Withdrawal,4539.18,2025-08-17 09:54:00,Success,Normal transaction,9,6,17,8,1,3786.56,1855.97,20,0.4055,0
105,TXN00000105,262,Deposit,24648.0,2025-05-19 09:52:00,Success,Unusual transaction time,3,0,19,5,0,19550.23,12133.6,18,0.4201,1
106,TXN00000106,363,Withdrawal,26466.5,2025-05-24 11:26:00,Success,Normal transaction,11,5,24,5,1,15337.93,11734.75,13,0.9483,0
107,TXN00000107,36,IMPS,21188.44,2025-08-29 10:39:00,Success,Normal transaction,10,4,29,8,0,25491.19,14442.71,17,0.2979,0
108,TXN00000108,340,NEFT,1803.89,2025-08-07 16:30:00,Success,Normal transaction,16,3,7,8,0,2712.93,1230.83,21,0.7386,0
109,TXN00000109,342,Withdrawal,27964.3,2025-10-21 00:27:00,Success,Normal transaction,0,1,21,10,0,14659.61,5945.04,13,2.2379,0
110,TXN00000110,284,Deposit,3769.46,2025-11-03 03:49:00,Success,Normal transaction,3,0,3,11,0,3005.6,1073.52,19,0.7115,0
111,TXN00000111,195,UPI,4977.73,2025-05-07 17:20:00,Success,Normal transaction,17,2,7,5,0,8354.85,4120.69,24,0.8196,0
112,TXN00000112,155,Withdrawal,22198.55,2025-01-01 07:05:00,Success,Normal transaction,7,2,1,1,0,22633.49,11668.31,24,0.0373,0
113,TXN00000113,108,Withdrawal,11745.0,2025-08-23 15:42:00,Success,Normal transaction,15,5,23,8,1,18626.16,9162.18,29,0.751,0
114,TXN00000114,227,UPI,11376.28,2025-12-11 13:31:00,Success,Normal transaction,13,3,11,12,0,26125.09,14777.95,27,0.998,0
115,TXN00000115,492,UPI,26118.09,2025-05-04 13:34:00,Success,Normal transaction,13,6,4,5,1,18205.51,10561.16,14,0.7492,0
116,TXN00000116,146,Transfer,4012.09,2025-09-02 01:50:00,Success,Normal transaction,1,1,2,9,0,1367.21,827.28,30,3.1971,0
117,TXN00000117,488,UPI,3421.4,2025-08-15 00:58:00,Success,Normal transaction,0,4,15,8,0,9695.6,5914.2,18,1.0609,0
118,TXN00000118,102,Deposit,21932.26,2025-02-03 15:38:00,Success,Normal transaction,15,0,3,2,0,17616.6,9428.5,21,0.4577,0
119,TXN00000119,244,Transfer,6690.33,2025-02-23 00:45:00,Success,Normal transaction,0,6,23,2,1,11639.03,9094.16,19,0.5442,0
120,TXN00000120,454,Transfer,17369.16,2025-05-22 14:00:00,Success,Normal transaction,14,3,22,5,0,21769.09,9128.0,17,0.482,0
121,TXN00000121,197,Withdrawal,13201.29,2025-06-27 15:56:00,Success,Normal transaction,15,4,27,6,0,22414.88,14701.09,13,0.6267,0
122,TXN00000122,353,Deposit,10344.9,2025-03-19 14:44:00,Success,Normal transaction,14,2,19,3,0,13899.46,7850.82,16,0.4528,0
123,TXN00000123,113,Deposit,23907.16,2025-12-05 06:35:00,Success,Normal transaction,6,4,5,12,0,25071.58,11802.85,23,0.0987,0
124,TXN00000124,128,RTGS,13668.72,2025-03-30 08:53:00,Success,Normal transaction,8,6,30,3,1,25218.45,17947.98,32,0.6435,0
125,TXN00000125,411,Withdrawal,9658.09,2025-08-20 01:11:00,Pending,Normal transaction,1,2,20,8,0,9833.01,5143.96,32,0.034,0
126,TXN00000126,457,Withdrawal,756.96,2025-11-07 17:50:00,Success,Normal transaction,17,4,7,11,0,857.78,360.69,23,0.2795,0
127,TXN00000127,281,Withdrawal,19558.21,2025-04-26 21:29:00,Success,Normal transaction,21,5,26,4,1,33945.16,23910.28,18,0.6017,0
128,TXN00000128,244,Withdrawal,5808.7,2025-06-30 00:49:00,Success,Normal transaction,0,0,30,6,0,11639.03,9094.16,19,0.6411,0
129,TXN00000129,142,UPI,4855.91,2025-12-19 20:56:00,Success,Normal transaction,20,4,19,12,0,8438.32,3932.44,19,0.911,0
130,TXN00000130,141,Withdrawal,36482.95,2025-07-28 01:27:00,Success,Normal transaction,1,0,28,7,0,28669.7,20815.89,21,0.3754,0
131,TXN00000131,172,Withdrawal,1193.91,2025-02-28 16:11:00,Success,Normal transaction,16,4,28,2,0,1128.41,502.49,19,0.1304,0
132,TXN00000132,119,Withdrawal,13065.33,2025-04-22 06:27:00,Success,Normal transaction,6,1,22,4,0,27543.89,14324.06,27,1.0108,0
133,TXN00000133,33,Withdrawal,2211.33,2025-08-29 22:34:00,Success,Normal transaction,22,4,29,8,0,2056.37,1081.0,16,0.1433,0
134,TXN00000134,213,Deposit,24903.01,2025-11-02 22:32:00,Success,Normal transaction,22,6,2,11,1,18668.4,10003.44,26,0.6232,0
135,TXN00000135,395,Transfer,3533.22,2025-01-15 05:20:00,Success,Normal transaction,5,2,15,1,0,10911.15,9192.51,21,0.8026,0
136,TXN00000136,392,Transfer,14304.35,2025-12-14 07:49:00,Success,Normal transaction,7,6,14,12,1,11991.26,5683.18,18,0.407,0
137,TXN00000137,181,Deposit,6151.32,2025-10-11 23:30:00,Success,Normal transaction,23,5,11,10,1,13852.18,9313.25,26,0.8269,0
138,TXN00000138,489,NEFT,32553.6,2025-06-10 14:11:00,Success,Normal transaction,14,1,10,6,0,35003.59,15868.95,13,0.1544,0
139,TXN00000139,140,Withdrawal,15975.24,2025-01-22 03:14:00,Success,Normal transaction,3,2,22,1,0,31674.22,27460.8,24,0.5717,0
140,TXN00000140,343,UPI,1757.83,2025-10-22 09:56:00,Success,Normal transaction,9,2,22,10,0,5876.52,4024.53,25,1.0234,0
141,TXN00000141,431,Withdrawal,1635.53,2025-04-03 22:27:00,Failed,Normal transaction,22,3,3,4,0,3781.21,1894.78,19,1.1324,0
142,TXN00000142,274,Deposit,23487.42,2025-10-14 22:00:00,Success,Normal transaction,22,1,14,10,0,28897.28,14092.57,22,0.3839,0
143,TXN00000143,340,Deposit,3341.77,2025-11-09 02:33:00,Success,Normal transaction,2,6,9,11,1,2712.93,1230.83,21,0.5109,0
144,TXN00000144,237,Deposit,4487.31,2025-07-09 10:33:00,Success,Normal transaction,10,2,9,7,0,8368.89,5124.73,23,0.7574,0
145,TXN00000145,109,Withdrawal,8674.82,2025-09-03 18:14:00,Success,Normal transaction,18,2,3,9,0,7956.59,4749.68,15,0.1512,0
146,TXN00000146,195,Deposit,3531.15,2025-11-03 23:22:00,Success,Normal transaction,23,0,3,11,0,8354.85,4120.69,24,1.1706,0
147,TXN00000147,42,Withdrawal,12180.99,2025-02-07 22:15:00,Failed,Normal transaction,22,4,7,2,0,12034.83,8305.72,17,0.0176,0
148,TXN00000148,180,Deposit,1987.75,2025-02-19 23:11:00,Success,Normal transaction,23,2,19,2,0,4197.4,1735.67,15,1.2731,0
149,TXN00000149,334,Deposit,2336.35,2025-01-23 14:17:00,Pending,Normal transaction,14,3,23,1,0,4021.06,2790.03,21,0.6038,0
150,TXN00000150,103,NEFT,8418.35,2025-04-21 23:04:00,Success,Normal transaction,23,0,21,4,0,6951.39,2532.04,14,0.5794,0
151,TXN00000151,243,UPI,14275.27,2025-06-08 17:12:00,Success,Normal transaction,17,6,8,6,1,24857.0,11401.96,20,0.9281,0
152,TXN00000152,132,UPI,4808.96,2025-05-03 04:19:00,Success,Normal transaction,4,5,3,5,1,7102.94,4375.6,17,0.5243,0
153,TXN00000153,494,UPI,8885.84,2025-03-25 09:36:00,Success,Normal transaction,9,1,25,3,0,5547.5,2740.4,20,1.2182,0
154,TXN00000154,84,IMPS,1497.87,2025-03-20 17:09:00,Success,Normal transaction,17,3,20,3,0,2394.03,1088.04,22,0.8236,0
155,TXN00000155,476,Withdrawal,39314.29,2025-10-01 06:57:00,Success,Normal transaction,6,2,1,10,0,26452.68,14285.22,16,0.9003,0
156,TXN00000156,367,Deposit,115143.69,2025-06-26 20:06:00,Success,Unusually large transaction,20,3,26,6,0,26415.93,10012.98,24,8.8613,1
157,TXN00000157,396,Withdrawal,31186.9,2025-03-30 03:35:00,Success,Normal transaction,3,6,30,3,1,33374.31,27899.31,22,0.0784,0
158,TXN00000158,290,UPI,33091.37,2025-09-10 19:49:00,Success,Normal transaction,19,2,10,9,0,16948.98,11457.09,23,1.4089,0
159,TXN00000159,339,Withdrawal,3111.88,2025-09-06 11:26:00,Success,Normal transaction,11,5,6,9,1,14990.61,8910.38,17,1.3331,0
160,TXN00000160,216,NEFT,4072.49,2025-03-18 20:25:00,Success,Normal transaction,20,1,18,3,0,7175.74,4965.24,19,0.625,0
161,TXN00000161,186,Transfer,22896.34,2025-12-01 18:31:00,Success,Normal transaction,18,0,1,12,0,15638.52,10303.38,19,0.7044,0
162,TXN00000162,223,Deposit,2499.69,2025-07-16 16:01:00,Success,Normal transaction,16,2,16,7,0,3786.56,1855.97,20,0.6934,0
163,TXN00000163,471,Transfer,978.45,2025-12-19 01:43:00,Success,Normal transaction,1,4,19,12,0,919.66,583.01,27,0.1008,0
164,TXN00000164,423,UPI,1961.63,2025-07-15 10:33:00,Success,Normal transaction,10,1,15,7,0,3329.7,2008.96,13,0.681,0
165,TXN00000165,126,NEFT,11498.93,2025-03-05 02:32:00,Success,Normal transaction,2,2,5,3,0,13692.72,6873.4,27,0.3192,0
166,TXN00000166,231,Deposit,18333.92,2025-12-05 09:22:00,Success,Normal transaction,9,4,5,12,0,21180.62,8283.19,20,0.3437,0
167,TXN00000167,343,Withdrawal,9016.39,2025-01-21 21:34:00,Success,Normal transaction,21,1,21,1,0,5876.52,4024.53,25,0.7802,0
168,TXN00000168,167,Deposit,9614.61,2025-06-04 11:03:00,Success,Normal transaction,11,2,4,6,0,11003.31,5383.92,17,0.2579,0
169,TXN00000169,133,Withdrawal,4137.92,2025-07-21 04:08:00,Success,Normal transaction,4,0,21,7,0,3101.16,1422.54,22,0.7288,0
170,TXN00000170,265,IMPS,17536.98,2025-03-04 08:11:00,Success,Normal transaction,8,1,4,3,0,23461.7,11147.24,22,0.5315,0
171,TXN00000171,209,Withdrawal,477.22,2025-06-24 23:57:00,Success,Normal transaction,23,1,24,6,0,718.77,460.37,26,0.5247,0
172,TXN00000172,331,UPI,7268.95,2025-11-23 08:25:00,Success,Normal transaction,8,6,23,11,1,10047.01,4604.43,26,0.6033,0
173,TXN00000173,48,Deposit,16449.86,2025-10-22 11:25:00,Success,Normal transaction,11,2,22,10,0,11657.38,3673.49,20,1.3046,0
174,TXN00000174,157,UPI,13460.34,2025-09-26 17:05:00,Success,Normal transaction,17,4,26,9,0,18083.55,8033.37,26,0.5755,0
175,TXN00000175,272,Withdrawal,23863.45,2025-08-29 20:59:00,Success,Normal transaction,20,4,29,8,0,24356.38,13332.06,16,0.037,0
176,TXN00000176,233,Deposit,45824.92,2025-07-03 01:35:00,Success,Normal transaction,1,3,3,7,0,17151.67,9358.39,24,3.0639,0
177,TXN00000177,370,Deposit,3551.18,2025-03-29 01:22:00,Success,Normal transaction,1,5,29,3,1,3244.61,2694.17,19,0.1138,0
178,TXN00000178,487,UPI,1348.58,2025-05-15 19:43:00,Success,Normal transaction,19,3,15,5,0,1717.32,958.8,22,0.3846,0
179,TXN00000179,379,Withdrawal,39601.6,2025-07-26 01:45:00,Failed,Normal transaction,1,5,26,7,1,23698.32,9478.11,24,1.6779,0
180,TXN00000180,427,Deposit,9042.25,2025-06-15 15:33:00,Success,Normal transaction,15,6,15,6,1,12133.83,5838.49,20,0.5295,0
181,TXN00000181,155,Deposit,8034.5,2025-04-03 04:11:00,Success,Normal transaction,4,3,3,4,0,22633.49,11668.31,24,1.2512,0
182,TXN00000182,499,Deposit,13999.41,2025-08-01 17:27:00,Success,Normal transaction,17,4,1,8,0,24951.7,15456.14,24,0.7086,0
183,TXN00000183,65,Transfer,2638.55,2025-12-24 10:43:00,Success,Normal transaction,10,2,24,12,0,6476.28,3679.54,20,1.043,0
184,TXN00000184,7,Transfer,1584.99,2025-12-08 19:18:00,Success,Normal transaction,19,0,8,12,0,2184.16,852.15,21,0.7031,0
185,TXN00000185,175,Deposit,16472.76,2025-02-07 09:52:00,Success,Normal transaction,9,4,7,2,0,20070.44,10636.12,21,0.3383,0
186,TXN00000186,442,Withdrawal,62037.35,2025-02-17 13:57:00,Success,Normal transaction,13,0,17,2,0,27823.49,14780.51,21,2.3148,0
187,TXN00000187,38,Transfer,3462.85,2025-02-09 00:53:00,Success,Normal transaction,0,6,9,2,1,3927.33,2549.55,26,0.1822,0
188,TXN00000188,416,Transfer,10182.83,2025-08-10 05:54:00,Success,Normal transaction,5,6,10,8,1,13683.16,7180.28,23,0.4875,0
